nbElements: 50
indexFenetre, indexVoletGauche, indexVoletDroit, 
0, 9, 39, 
1, 40, 1, 
2, 17, 23, 
3, 26, 13, 
4, 29, 6, 
5, 45, 8, 
6, 0, 40, 
7, 22, 5, 
8, 7, 2, 
9, 34, 47, 
10, 20, 43, 
11, 39, 38, 
12, 27, 11, 
13, 28, 19, 
14, 38, 32, 
15, 4, 48, 
16, 49, 22, 
17, 19, 7, 
18, 25, 26, 
19, 42, 27, 
20, 32, 10, 
21, 3, 17, 
22, 18, 42, 
23, 41, 12, 
24, 36, 25, 
25, 43, 14, 
26, 10, 49, 
27, 13, 34, 
28, 11, 0, 
29, 35, 21, 
30, 24, 37, 
31, 48, 4, 
32, 37, 45, 
33, 12, 18, 
34, 15, 35, 
35, 23, 46, 
36, 21, 28, 
37, 5, 29, 
38, 47, 15, 
39, 16, 31, 
40, 33, 36, 
41, 30, 9, 
42, 6, 16, 
43, 46, 41, 
44, 44, 3, 
45, 14, 24, 
46, 1, 33, 
47, 31, 30, 
48, 8, 44, 
49, 2, 20, 
