nbElements: 50
indexFenetre, indexVoletGauche, indexVoletDroit, 
0, 9, 16, 
1, 24, 27, 
2, 17, 25, 
3, 19, 49, 
4, 26, 8, 
5, 15, 46, 
6, 47, 41, 
7, 18, 44, 
8, 7, 4, 
9, 37, 47, 
10, 29, 48, 
11, 39, 13, 
12, 8, 7, 
13, 6, 5, 
14, 22, 3, 
15, 43, 21, 
16, 25, 15, 
17, 30, 32, 
18, 33, 33, 
19, 36, 12, 
20, 13, 36, 
21, 2, 35, 
22, 3, 42, 
23, 46, 45, 
24, 5, 28, 
25, 11, 39, 
26, 35, 2, 
27, 12, 34, 
28, 1, 0, 
29, 32, 14, 
30, 31, 29, 
31, 20, 19, 
32, 34, 18, 
33, 0, 9, 
34, 16, 6, 
35, 48, 37, 
36, 42, 11, 
37, 44, 24, 
38, 38, 1, 
39, 45, 31, 
40, 23, 17, 
41, 41, 20, 
42, 10, 23, 
43, 40, 22, 
44, 49, 26, 
45, 14, 38, 
46, 4, 43, 
47, 27, 30, 
48, 21, 10, 
49, 28, 40, 
