nbElements: 50
indexFenetre, indexVoletGauche, indexVoletDroit, 
0, 22, 23, 
1, 15, 31, 
2, 6, 12, 
3, 35, 40, 
4, 48, 38, 
5, 39, 17, 
6, 38, 29, 
7, 33, 43, 
8, 1, 14, 
9, 43, 7, 
10, 11, 16, 
11, 25, 3, 
12, 19, 47, 
13, 20, 42, 
14, 44, 26, 
15, 29, 15, 
16, 46, 46, 
17, 49, 5, 
18, 2, 22, 
19, 17, 27, 
20, 45, 21, 
21, 24, 44, 
22, 13, 8, 
23, 7, 28, 
24, 27, 4, 
25, 34, 39, 
26, 26, 18, 
27, 28, 49, 
28, 37, 48, 
29, 41, 37, 
30, 16, 11, 
31, 3, 33, 
32, 31, 32, 
33, 14, 24, 
34, 10, 20, 
35, 12, 13, 
36, 18, 19, 
37, 47, 25, 
38, 4, 2, 
39, 8, 35, 
40, 32, 9, 
41, 0, 1, 
42, 9, 41, 
43, 40, 34, 
44, 30, 6, 
45, 42, 10, 
46, 21, 30, 
47, 5, 45, 
48, 23, 0, 
49, 36, 36, 
