nbElements: 200
indexFenetre, indexVoletGauche, indexVoletDroit, 
0, 166, 116, 
1, 98, 166, 
2, 31, 119, 
3, 70, 5, 
4, 96, 43, 
5, 49, 134, 
6, 16, 161, 
7, 68, 115, 
8, 21, 149, 
9, 24, 12, 
10, 198, 88, 
11, 11, 139, 
12, 107, 75, 
13, 53, 2, 
14, 187, 121, 
15, 155, 168, 
16, 5, 114, 
17, 65, 118, 
18, 180, 141, 
19, 97, 120, 
20, 72, 18, 
21, 2, 48, 
22, 114, 22, 
23, 150, 140, 
24, 189, 153, 
25, 161, 94, 
26, 99, 64, 
27, 100, 51, 
28, 117, 54, 
29, 169, 97, 
30, 183, 50, 
31, 134, 77, 
32, 105, 162, 
33, 146, 151, 
34, 141, 110, 
35, 82, 70, 
36, 147, 143, 
37, 174, 123, 
38, 12, 11, 
39, 160, 113, 
40, 28, 92, 
41, 32, 25, 
42, 75, 146, 
43, 50, 55, 
44, 151, 67, 
45, 101, 76, 
46, 3, 34, 
47, 78, 129, 
48, 124, 106, 
49, 126, 49, 
50, 106, 10, 
51, 62, 69, 
52, 25, 78, 
53, 9, 157, 
54, 195, 124, 
55, 51, 183, 
56, 52, 130, 
57, 4, 192, 
58, 22, 133, 
59, 137, 66, 
60, 14, 85, 
61, 168, 103, 
62, 109, 44, 
63, 23, 42, 
64, 113, 175, 
65, 181, 19, 
66, 131, 112, 
67, 30, 193, 
68, 57, 30, 
69, 102, 39, 
70, 139, 100, 
71, 44, 95, 
72, 47, 199, 
73, 0, 31, 
74, 142, 37, 
75, 178, 68, 
76, 140, 91, 
77, 130, 136, 
78, 79, 150, 
79, 56, 189, 
80, 199, 82, 
81, 67, 125, 
82, 182, 4, 
83, 158, 71, 
84, 159, 152, 
85, 42, 109, 
86, 148, 126, 
87, 46, 23, 
88, 81, 187, 
89, 162, 24, 
90, 111, 26, 
91, 163, 40, 
92, 27, 155, 
93, 18, 46, 
94, 188, 8, 
95, 85, 62, 
96, 54, 147, 
97, 95, 197, 
98, 74, 21, 
99, 63, 41, 
100, 154, 190, 
101, 120, 63, 
102, 104, 38, 
103, 175, 81, 
104, 59, 171, 
105, 149, 181, 
106, 129, 169, 
107, 121, 188, 
108, 171, 174, 
109, 167, 165, 
110, 191, 27, 
111, 193, 58, 
112, 122, 127, 
113, 186, 6, 
114, 179, 102, 
115, 144, 0, 
116, 93, 185, 
117, 48, 160, 
118, 110, 73, 
119, 164, 90, 
120, 89, 79, 
121, 55, 16, 
122, 136, 13, 
123, 197, 194, 
124, 152, 104, 
125, 34, 198, 
126, 17, 167, 
127, 29, 195, 
128, 80, 131, 
129, 145, 84, 
130, 185, 9, 
131, 73, 179, 
132, 143, 105, 
133, 103, 177, 
134, 60, 164, 
135, 10, 107, 
136, 83, 172, 
137, 77, 86, 
138, 156, 61, 
139, 91, 178, 
140, 64, 89, 
141, 118, 117, 
142, 128, 182, 
143, 88, 132, 
144, 7, 196, 
145, 41, 154, 
146, 125, 65, 
147, 92, 3, 
148, 196, 7, 
149, 194, 93, 
150, 123, 142, 
151, 38, 144, 
152, 8, 57, 
153, 43, 14, 
154, 13, 135, 
155, 135, 36, 
156, 71, 145, 
157, 61, 53, 
158, 35, 20, 
159, 119, 186, 
160, 108, 1, 
161, 58, 176, 
162, 66, 170, 
163, 153, 74, 
164, 33, 128, 
165, 19, 56, 
166, 76, 33, 
167, 15, 72, 
168, 37, 83, 
169, 94, 80, 
170, 173, 108, 
171, 36, 52, 
172, 127, 32, 
173, 69, 111, 
174, 112, 138, 
175, 172, 148, 
176, 165, 158, 
177, 20, 159, 
178, 116, 96, 
179, 170, 15, 
180, 26, 17, 
181, 6, 191, 
182, 177, 156, 
183, 184, 87, 
184, 1, 59, 
185, 40, 45, 
186, 115, 137, 
187, 138, 98, 
188, 45, 99, 
189, 132, 60, 
190, 84, 101, 
191, 190, 29, 
192, 176, 122, 
193, 87, 163, 
194, 39, 28, 
195, 90, 47, 
196, 133, 184, 
197, 192, 35, 
198, 157, 173, 
199, 86, 180, 
